Date,Coal,Oil,Gas,Renewables
1980,1169.4,1358.6,416.0,206.0
1981,1229.2,1339.0,462.0,210.7
1982,1194.9,1262.7,466.2,203.5
1983,1228.3,1306.7,490.0,200.9
1984,1334.2,1306.6,523.3,212.9
1985,1316.4,1304.9,570.7,214.9
1986,1401.5,1315.8,588.4,214.5
1987,1430.7,1369.3,610.5,218.4
1988,1548.4,1433.2,627.8,228.7
1989,1576.1,1452.7,688.1,233.0
1990,1623.2,1440.9,655.4,236.3
1991,1640.3,1444.5,678.6,221.9
1992,1642.6,1491.7,707.0,243.8
1993,1661.4,1532.5,736.8,252.3
1994,1710.1,1606.3,793.1,258.8
1995,1775.9,1663.9,797.0,267.2
1996,1852.6,1660.6,818.4,280.1
1997,1959.5,1680.1,859.3,278.2
1998,2022.7,1698.2,887.4,278.3
1999,2052.5,1722.9,921.5,274.1
2000,2081.50,1701.50,959.90,268.90
2001,2127.80,1750.00,974.70,244.50
2002,2118.70,1801.90,942.10,276.50
2003,2221.70,1810.50,974.00,279.10
2004,2254.50,1869.00,996.40,280.20
2005,2292.70,1969.70,1000.90,284.50
2006,2316.60,1988.30,1131.90,288.30
2007,2300.20,1981.80,1168.70,286.40
2008,2351.00,2000.30,1252.90,239.90
2009,2224.80,2057.80,1257.80,282.60
2010,2123.90,2211.60,1274.20,294.60
2011,2074.70,2183.80,1338.50,293.80
2012,1930.90,2276.20,1376.50,333.50
2013,1845.80,2293.90,1407.20,344.20
2014,1907.20,2233.80,1420.00,347.70
2015,1954.90,2276.70,1464.40,360.20
2016,1930.00,2315.10,1496.70,379.10
2017,1847.30,2400.30,1557.30,382.50
2018,1801.60,2407.30,1586.50,400.20
2019,1706.60,2241.20,1647.20,418.80